product_name,actual_price,selling_price,ebay_price,stock,demand_index,user_interest,day_of_week,season,sales,profit
Asus ROG Zephyrus,85795,80870.98,83186.68,208,0.36043871468920885,0.708678562918169,2,0,33,686877.84
Dell Inspiron 15 Laptop,79131,65000.58,74799.89,328,0.483824373195297,0.5288854516377266,3,0,45,432399.6
Dell Inspiron 15 Laptop,41396,35798.92,34663.72,78,0.7936365179563544,0.5485922532762159,6,1,60,409303.2
Asus ROG Zephyrus,89118,79560.8,77063.77,263,0.49112345509496347,0.479742475971381,4,0,37,635593.4
Lenovo ThinkPad X1,56777,53502.83,59030.46,261,0.5719563005285984,0.6643341427651249,3,0,49,674187.57
HP Pavilion Gaming,52159,41996.25,53348.02,439,0.8132225653562082,0.8251923476041636,5,0,80,438796.0
HP Pavilion Gaming,75757,60961.43,75960.44,63,0.847693315999082,0.9713869948896967,6,0,63,499686.39
HP Pavilion Gaming,59253,50293.92,51348.84,357,1.0,1.0,3,1,82,722979.24
Asus ROG Zephyrus,109976,92868.25,87934.62,364,0.7164245589426078,0.8047258582155025,0,0,57,905447.85
Dell Inspiron 15 Laptop,38561,32922.22,30261.16,154,0.666358982380183,0.6720651767448258,6,0,45,266828.4
Asus ROG Zephyrus,84039,75625.72,77936.87,233,0.6855979756839332,0.7636288325586243,5,0,64,1075098.88
Asus ROG Zephyrus,87412,77288.95,85776.53,378,0.6698932283480434,0.5221581452661722,6,0,58,933831.9
MacBook Air M2,144268,126419.97,147480.84,426,0.7745410195981035,1.0,4,0,58,1475077.46
Dell Inspiron 15 Laptop,44914,40612.04,45549.1,189,0.9002896663049611,1.0,3,1,70,642056.8
MacBook Air M2,115939,108273.56,105713.49,367,0.7448166503051754,0.6843707741404904,2,0,56,1518510.56
Acer Aspire 5,62251,53092.96,52380.13,217,0.06896479048730597,0.1093415816834785,2,0,4,38069.04
Dell Inspiron 15 Laptop,35663,33574.45,30205.17,115,0.1816800660625471,0.2767656388497004,1,0,15,129155.25
Dell Inspiron 15 Laptop,79417,72018.56,63090.94,459,0.7204695365099333,0.443163673974302,5,0,41,673493.06
Dell Inspiron 15 Laptop,73623,68928.79,60508.43,149,0.20024817167225775,0.2079261316694968,6,0,15,260890.35
HP Pavilion Gaming,67970,58144.81,55915.38,313,0.8805588621872198,0.6374809967951541,2,0,76,803001.56
HP Pavilion Gaming,57671,53362.71,48803.16,345,0.7579345609501345,0.743596580429187,3,0,45,584685.45
MacBook Air M2,124754,114951.47,106614.74,218,0.7072672064764131,0.5032382144939083,1,0,59,1629796.53
MacBook Air M2,91802,78138.19,71976.63,170,0.9744638234641441,0.9668019867598171,1,0,86,1193403.94
Dell Inspiron 15 Laptop,51371,45178.1,42255.51,323,0.9125649199466365,0.7309125486209807,6,1,64,589977.6
MacBook Air M2,132642,120557.43,135179.85,171,0.9841333431426142,0.9603647178780167,0,1,75,2078102.25
HP Pavilion Gaming,77405,69691.46,71538.16,131,0.7586144946597362,0.5753194138917024,5,0,63,977001.48
Asus ROG Zephyrus,72869,63196.63,76391.29,180,0.699028611069794,0.7226038227421989,6,0,71,865371.43
Asus ROG Zephyrus,74735,66158.88,58151.49,390,0.4362859678483775,0.3372002794836044,5,0,29,401487.02
Asus ROG Zephyrus,80677,75506.8,71021.44,296,1.0,0.958468300026715,4,0,67,1275204.3
MacBook Air M2,135714,120215.55,133076.56,36,0.6976833360436012,0.7210386781592771,5,0,36,907767.0
Acer Aspire 5,68828,64646.55,60462.32,200,0.6672797527572505,0.6140816690391467,4,0,47,773946.65
HP Pavilion Gaming,41102,34536.83,36810.29,37,0.8420218480727907,0.8112063156601095,5,0,37,213320.91
Acer Aspire 5,42455,38238.01,36409.15,146,0.8114847017724752,0.7761112191056795,0,0,53,451534.03
MacBook Air M2,144748,122236.29,126789.73,325,0.7030095372612095,1.0,0,0,48,1003809.12
Lenovo ThinkPad X1,75941,69817.79,77232.12,490,0.7136702502207657,0.6498916931782565,6,0,51,849613.59
MSI Prestige 14,98312,80935.97,102692.02,169,0.6170936389220216,0.7504194218793095,5,0,55,666466.35
MSI Prestige 14,85338,69896.86,77373.66,72,0.9420797266273278,0.9070082904151319,5,0,72,731538.72
Dell Inspiron 15 Laptop,74734,61338.15,59026.68,389,0.2949714826684785,0.19201033398109074,6,0,22,198535.7
MSI Prestige 14,107945,87626.35,81779.7,136,0.5728565235363536,0.3996675396102755,0,0,37,446399.45
MSI Prestige 14,86896,75282.6,71422.97,137,0.7890763380175134,0.9346207073287843,4,0,66,954056.4
HP Pavilion Gaming,44662,38648.3,43278.0,470,0.45385171935406926,0.36552458960059453,0,0,37,273241.3
Asus ROG Zephyrus,79435,64096.13,60546.84,257,0.4901494185271396,0.6099871672617394,4,0,35,297207.05
Acer Aspire 5,58049,54703.74,58978.02,199,0.8882546578132231,0.7465076113167755,0,0,77,1083346.88
Lenovo ThinkPad X1,51364,42346.54,39610.41,266,0.8344871564784485,0.8609277476404483,2,0,66,421854.84
Lenovo ThinkPad X1,39000,35945.54,38851.48,287,0.8878654280206868,0.846102026787442,3,1,69,596542.26
HP Pavilion Gaming,55491,45231.64,41921.59,261,0.5027134467895279,0.47420297243424286,1,0,40,255517.6
HP Pavilion Gaming,46261,42660.52,38607.42,215,0.5914077212794298,0.6027647147991574,3,1,41,421390.62
MSI Prestige 14,93548,78795.97,75140.73,476,0.9740847795631035,1.0,3,0,71,945178.27
Lenovo ThinkPad X1,69911,59502.69,71954.3,56,0.7528956470651422,0.7643276678213482,2,0,56,591639.44
Dell Inspiron 15 Laptop,79912,69985.96,79747.16,361,0.48206942866256686,0.5594736094887415,4,0,50,702378.0
Dell Inspiron 15 Laptop,71939,61380.93,74603.64,242,0.6193991929985436,0.8924772200483486,4,0,49,540157.87
Acer Aspire 5,72259,61369.55,68772.9,72,0.724823963410431,0.9215315392568879,1,0,72,776754.0
Dell Inspiron 15 Laptop,57925,51114.72,51116.45,234,1.0,1.0,0,1,88,929915.36
Lenovo ThinkPad X1,70307,65387.64,70415.57,193,0.7133393186194878,0.7154266595050477,1,1,52,840982.48
MSI Prestige 14,92556,75222.64,96812.82,384,1.0,1.0,0,1,102,1064210.88
Lenovo ThinkPad X1,70909,64259.66,63428.11,383,0.4925848130055722,0.5163626528728675,6,1,37,541064.32
MacBook Air M2,94748,81557.21,87304.78,167,0.954227645196183,1.0,5,0,77,1172987.97
Lenovo ThinkPad X1,69299,58409.13,70032.17,441,1.0,1.0,4,1,76,752387.08
MSI Prestige 14,90559,79615.41,94895.82,248,0.8687148045560688,0.7775008886317543,6,0,85,1379049.35
Dell Inspiron 15 Laptop,73413,61973.35,76991.84,73,0.7744641273441356,1.0,3,0,73,772650.25
Asus ROG Zephyrus,81023,75638.18,71842.85,175,0.402554158465415,0.28203700421933575,1,0,27,510896.16
Acer Aspire 5,68307,55442.07,71197.65,211,0.5010213144869438,0.7242577328365376,4,0,55,419494.35
MacBook Air M2,125547,105540.29,99176.55,54,0.848392603305893,0.9192032882846026,5,0,54,953499.06
Dell Inspiron 15 Laptop,64548,53234.36,56374.71,393,0.7590955048846366,0.5431450158123787,5,0,72,579654.72
Acer Aspire 5,56168,51997.49,50023.67,118,0.6437366184552281,0.535938903030435,4,0,59,748113.51
Dell Inspiron 15 Laptop,58574,53615.6,60532.11,477,0.32985560941169867,0.3523518516288622,0,0,34,428869.2
